State/UT,Marginal,Small,Medium,Medium,Large
Andhra Pradesh,0.4,1.4,2.7,5.7,15.5
Bihar,0.3,1.3,2.6,5.2,14.5
Chhattisgarh,0.4,1.4,2.8,5.8,16.3
Goa,0.3,1.6,2.7,6.2,23.8
Gujarat,0.5,1.5,2.8,5.7,20.9
Haryana,0.5,1.4,2.9,6.1,18
Himachal Pradesh,0.4,1.4,2.7,5.7,15.5
Jammu & Kashmir,0.4,1.4,2.7,5.4,22.3
Jharkhand,0.4,1.4,2.7,5.6,15.4
Karnataka,0.5,1.4,2.7,5.8,14.7
Kerala,0.1,1.6,2.8,5.3,55.8
Madhya Pradesh,0.5,1.4,2.7,5.9,15.8
Maharashtra,0.5,1.4,2.7,5.6,16
Odisha,0.6,1.6,3,6,23.7
Punjab,0.6,1.4,2.7,5.7,14.8
Rajasthan,0.5,1.4,2.9,6.1,17.5
Tamil Nadu,0.4,1.4,2.7,5.6,20.1
Uttar Pradesh,0.4,1.4,2.7,5.5,15
Uttarakhand,0.4,1.4,2.7,5.5,23.1
West Bengal,0.5,1.6,2.8,4.9,316.2
Arunachal Pradesh,0.6,1.3,2.7,5.8,14.9
Assam,0.4,1.4,2.7,5.2,68.1
Meghalaya,0.6,1.5,2.6,5.4,13.1
Mizoram,0.6,1.3,2.3,4.8,13.1
Nagaland,0.5,1.1,2.6,6.2,15.8
Sikkim,0.4,1.2,2.7,5.8,20.7
Tripura,0.3,1.4,2.6,5.2,78.8
Andaman & Nicobar Islands,0.4,1.4,2.6,4.3,46.8
Chandigarh,0.5,1.4,2.9,5.8,16.5
Dadar & Nagar Haveli,0.5,1.3,2.8,5.8,16
Daman & Diu,0.2,1.4,2.6,6.3,20
Delhi,0.4,1.3,2.9,5.6,15.1
Lakshadweep,0.2,1.4,2.6,6.1,24
Puducherry,0.4,1.5,2.8,5.7,16.9
